iter	Passed	Remaining
438	1303	1665
439	1304	1660
440	1306	1655
441	1308	1651
442	1309	1646
443	1311	1641
444	1314	1639
445	1317	1636
446	1319	1632
447	1320	1627
448	1322	1623
449	1324	1618
450	1326	1614
451	1335	1619
452	1337	1615
453	1339	1610
454	1340	1606
455	1342	1601
456	1345	1598
457	1347	1594
458	1348	1589
459	1349	1584
460	1351	1580
461	1353	1576
462	1355	1571
463	1356	1567
464	1358	1562
465	1361	1559
466	1363	1556
467	1365	1551
468	1367	1548
469	1372	1547
470	1373	1543
471	1377	1541
472	1379	1537
473	1381	1532
474	1382	1528
475	1383	1523
476	1385	1519
477	1387	1515
478	1388	1510
479	1392	1508
480	1394	1504
481	1396	1501
482	1398	1496
483	1399	1492
484	1401	1488
485	1402	1483
486	1404	1479
487	1414	1484
488	1416	1480
489	1418	1476
490	1420	1472
491	1424	1470
492	1425	1466
493	1428	1462
494	1431	1460
495	1433	1456
496	1434	1451
497	1438	1450
498	1440	1445
499	1441	1441
500	1443	1437
501	1444	1433
502	1446	1429
503	1447	1424
504	1458	1429
505	1461	1427
506	1463	1422
507	1464	1418
508	1466	1414
509	1468	1410
510	1469	1406
511	1471	1402
512	1473	1398
513	1474	1394
514	1476	1390
515	1477	1386
516	1481	1384
517	1483	1380
518	1486	1377
519	1487	1373
520	1489	1369
521	1493	1367
522	1495	1363
523	1499	1362
524	1501	1358
525	1503	1354
526	1517	1361
527	1518	1357
528	1520	1353
529	1522	1349
530	1523	1345
531	1525	1342
532	1527	1338
533	1532	1337
534	1533	1333
535	1535	1328
536	1536	1324
537	1538	1320
538	1539	1316
539	1542	1313
540	1544	1310
541	1546	1306
542	1548	1302
543	1558	1306
544	1560	1302
545	1561	1298
546	1563	1294
547	1565	1290
548	1566	1286
549	1568	1282
550	1569	1278
551	1572	1276
552	1574	1272
553	1575	1268
554	1577	1264
555	1579	1260
556	1580	1256
557	1581	1253
558	1586	1251
559	1588	1247
560	1589	1243
561	1591	1240
562	1594	1237
563	1595	1233
564	1597	1229
565	1598	1226
566	1600	1222
567	1603	1219
568	1604	1215
569	1606	1211
570	1608	1208
571	1610	1204
572	1614	1203
573	1619	1201
574	1621	1198
575	1622	1194
576	1625	1191
577	1627	1188
578	1628	1184
579	1644	1190
580	1647	1188
581	1661	1193
582	1664	1190
583	1669	1189
584	1674	1188
585	1676	1184
586	1679	1181
587	1687	1182
588	1688	1178
589	1690	1174
590	1691	1170
591	1693	1167
592	1694	1163
593	1697	1160
594	1701	1158
595	1703	1154
596	1725	1165
597	1727	1161
598	1733	1160
599	1734	1156
600	1736	1152
601	1737	1148
602	1739	1145
603	1741	1141
604	1744	1138
605	1747	1136
606	1749	1132
607	1751	1129
608	1752	1125
609	1755	1122
610	1756	1118
611	1761	1116
612	1762	1112
613	1764	1109
614	1768	1107
615	1770	1103
616	1771	1099
617	1773	1096
618	1776	1093
619	1778	1089
620	1779	1086
621	1783	1083
622	1784	1080
623	1786	1076
624	1788	1073
625	1791	1070
626	1792	1066
627	1794	1062
628	1796	1059
629	1797	1055
630	1808	1057
631	1812	1055
632	1814	1051
633	1816	1048
634	1818	1045
635	1820	1041
636	1821	1038
637	1823	1034
638	1824	1030
639	1827	1027
640	1829	1024
641	1831	1021
642	1834	1018
643	1836	1015
644	1838	1011
645	1840	1008
646	1843	1005
647	1845	1002
648	1851	1001
649	1853	997
650	1856	995
651	1860	992
652	1863	990
653	1864	986
654	1866	982
655	1867	979
656	1869	975
657	1871	972
658	1875	970
659	1877	967
660	1879	963
661	1880	960
662	1882	956
663	1883	953
664	1885	949
665	1887	946
666	1895	946
667	1897	942
668	1898	939
669	1900	936
670	1901	932
671	1903	928
672	1904	925
673	1906	921
674	1907	918
675	1909	915
676	1910	911
677	1912	908
678	1917	906
679	1919	903
680	1920	899
681	1922	896
682	1924	893
683	1925	889
684	1941	892
685	1943	889
686	1944	886
687	1947	883
688	1949	879
689	1950	876
690	1952	873
691	1953	869
692	1955	866
693	1956	862
694	1958	859
695	1962	857
696	1965	854
697	1967	851
698	1969	847
699	1970	844
700	1972	841
701	1973	837
702	1975	834
703	1977	831
704	1979	828
705	1980	824
706	1982	821
707	1983	818
708	1985	814
709	1986	811
710	1989	808
711	1992	806
712	1994	802
713	1995	799
714	1997	796
715	1998	792
716	2000	789
717	2002	786
718	2004	783
719	2007	780
720	2008	777
721	2011	774
722	2013	771
723	2014	768
724	2016	764
725	2018	761
726	2019	758
727	2023	755
728	2026	753
729	2027	749
730	2029	746
731	2031	743
732	2032	740
733	2034	737
734	2035	734
735	2037	730
736	2039	727
737	2040	724
738	2042	721
739	2044	718
740	2045	715
741	2047	711
742	2048	708
743	2050	705
744	2052	702
745	2053	699
746	2055	696
747	2067	696
748	2068	693
749	2070	690
750	2072	687
751	2073	683
752	2075	680
753	2076	677
754	2078	674
755	2079	671
756	2082	668
757	2084	665
758	2085	662
759	2087	659
760	2088	656
761	2090	652
762	2091	649
763	2093	646
